tid,windspeed
2020-07-24 08:00,0.6000000000000001
2020-07-24 09:00,3.5
2020-07-24 10:00,3.2
2020-07-24 11:00,3.0
2020-07-24 12:00,2.8
2020-07-24 13:00,3.1
2020-07-24 14:00,2.9
2020-07-24 15:00,2.7
2020-07-24 16:00,2.4
2020-07-24 17:00,1.9
2020-07-24 18:00,1.2
2020-07-24 19:00,4.4
2020-07-24 20:00,4.2
2020-07-24 21:00,3.5
2020-07-24 22:00,2.6
2020-07-24 23:00,2.3
2020-07-25 00:00,3.3
2020-07-25 01:00,4.0
2020-07-25 02:00,4.9
2020-07-25 03:00,5.0
2020-07-25 04:00,4.4
2020-07-25 05:00,4.3
2020-07-25 06:00,4.3
2020-07-25 07:00,4.0
2020-07-25 08:00,3.5
2020-07-25 09:00,2.5
2020-07-25 10:00,1.9
2020-07-25 11:00,1.1
2020-07-25 12:00,0.7000000000000001
2020-07-25 13:00,2.9
2020-07-25 14:00,1.9
2020-07-25 15:00,2.6
2020-07-25 16:00,7.4
2020-07-25 17:00,7.4
2020-07-25 18:00,7.7
2020-07-25 19:00,7.3
2020-07-25 20:00,6.2
2020-07-25 21:00,4.9
2020-07-25 22:00,3.6
2020-07-25 23:00,2.7
2020-07-26 00:00,2.6
2020-07-26 01:00,3.5
2020-07-26 02:00,3.9
2020-07-26 03:00,3.8
2020-07-26 04:00,3.5
2020-07-26 05:00,4.0
2020-07-26 06:00,3.3
2020-07-26 07:00,3.8
